행정구역,계_0~4세,계_5~9세,계_10~14세,계_15~19세,계_20~24세,계_25~29세,계_30~34세,계_35~39세,계_40~44세,계_45~49세,계_50~54세,계_55~59세,계_60~64세,계_65~69세,계_70~74세,계_75~79세,계_80~84세,계_85~89세,계_90~94세,계_95~99세,계_100세 이상,남_총인구수,남_연령구간인구수,남_0~4세,남_5~9세,남_10~14세,남_15~19세,남_20~24세,남_25~29세,남_30~34세,남_35~39세,남_40~44세,남_45~49세,남_50~54세,남_55~59세,남_60~64세,남_65~69세,남_70~74세,남_75~79세,남_80~84세,남_85~89세,남_90~94세,남_95~99세,남_100세 이상,여_총인구수,여_연령구간인구수,여_0~4세,여_5~9세,여_10~14세,여_15~19세,여_20~24세,여_25~29세,여_30~34세,여_35~39세,여_40~44세,여_45~49세,여_50~54세,여_55~59세,여_60~64세,여_65~69세,여_70~74세,여_75~79세,여_80~84세,여_85~89세,여_90~94세,여_95~99세,여_100세 이상
강원도  (4200000000),"43,415","59,165","65,384","69,637","90,742","86,133","75,276","87,959","102,425","118,027","132,941","130,818","147,465","106,520","69,404","64,249","50,220","24,521","9,119","2,255",465,"773,232","773,232","22,211","30,330","33,782","36,354","50,558","48,942","40,487","45,402","52,060","61,029","69,127","66,973","73,747","52,916","32,498","27,633","19,279","7,295","1,984",511,114,"762,908","762,908","21,204","28,835","31,602","33,283","40,184","37,191","34,789","42,557","50,365","56,998","63,814","63,845","73,718","53,604","36,906","36,616","30,941","17,226","7,135","1,744",351
동해출장소  (4210500000),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도 춘천시 (4211000000),"8,811","12,164","13,129","13,506","18,792","18,480","15,913","18,032","19,937","22,007","24,126","22,311","23,601","16,933","10,378","10,285","8,127","4,088","1,540",362,70,"139,546","139,546","4,497","6,276","6,820","7,040","9,946","9,958","8,261","9,093","9,867","10,854","12,235","11,133","11,420","8,206","4,679","4,406","3,125","1,247",362,102,19,"143,046","143,046","4,314","5,888","6,309","6,466","8,846","8,522","7,652","8,939","10,070","11,153","11,891","11,178","12,181","8,727","5,699","5,879","5,002","2,841","1,178",260,51
강원도 원주시 (4213000000),"11,883","15,855","17,868","17,556","22,321","22,800","20,899","24,120","27,028","29,706","31,779","28,980","29,371","19,191","11,288","10,192","8,431","4,210","1,533",357,64,"176,297","176,297","6,089","8,057","9,141","9,134","11,937","12,100","10,662","12,178","13,354","14,609","15,956","14,573","14,572","9,511","5,216","4,353","3,195","1,227",331,92,10,"179,135","179,135","5,794","7,798","8,727","8,422","10,384","10,700","10,237","11,942","13,674","15,097","15,823","14,407","14,799","9,680","6,072","5,839","5,236","2,983","1,202",265,54
강원도 강릉시 (4215000000),"5,393","7,704","8,822","9,748","13,125","11,807","9,613","11,760","14,527","17,430","18,627","17,805","20,194","14,912","10,395","9,163","6,789","3,403","1,350",334,56,"105,652","105,652","2,807","3,957","4,587","5,147","7,134","6,521","5,271","6,006","7,328","8,912","9,525","8,909","9,702","7,059","4,806","3,966","2,610","1,061",279,53,12,"107,305","107,305","2,586","3,747","4,235","4,601","5,991","5,286","4,342","5,754","7,199","8,518","9,102","8,896","10,492","7,853","5,589","5,197","4,179","2,342","1,071",281,44
강원도 동해시 (4217000000),"2,510","3,899","4,169","4,397","4,999","4,364","3,712","5,132","6,607","7,726","8,230","7,381","8,214","6,215","4,256","3,727","2,623","1,313",437,114,14,"45,732","45,732","1,286","2,010","2,166","2,295","2,915","2,604","2,025","2,722","3,327","4,139","4,295","3,820","3,974","3,002","2,020","1,587","1,046",392,93,12,2,"44,307","44,307","1,224","1,889","2,003","2,102","2,084","1,760","1,687","2,410","3,280","3,587","3,935","3,561","4,240","3,213","2,236","2,140","1,577",921,344,102,12
강원도 태백시 (4219000000),891,"1,506","1,833","1,888","1,991","1,549","1,425","2,078","2,871","3,261","3,604","3,470","4,292","3,442","2,642","2,161","1,531",630,198,56,22,"20,966","20,966",485,782,929,"1,006","1,168",889,770,"1,090","1,472","1,801","1,974","1,830","2,167","1,648","1,167",950,586,191,44,8,9,"20,375","20,375",406,724,904,882,823,660,655,988,"1,399","1,460","1,630","1,640","2,125","1,794","1,475","1,211",945,439,154,48,13
강원도 속초시 (4221000000),"2,335","3,386","3,517","3,740","4,545","4,383","4,132","4,934","5,706","6,530","7,688","7,266","7,935","5,556","3,646","3,140","2,254","1,065",489,109,21,"40,848","40,848","1,224","1,690","1,808","1,964","2,530","2,497","2,323","2,540","2,890","3,260","3,781","3,621","3,797","2,714","1,627","1,311",850,304,88,22,7,"41,529","41,529","1,111","1,696","1,709","1,776","2,015","1,886","1,809","2,394","2,816","3,270","3,907","3,645","4,138","2,842","2,019","1,829","1,404",761,401,87,14
강원도 삼척시 (4223000000),"1,616","2,041","2,303","2,715","4,177","2,719","2,376","3,031","3,865","4,743","5,438","5,572","6,582","5,025","3,700","3,356","2,587","1,465",508,106,27,"32,305","32,305",800,"1,061","1,191","1,376","2,262","1,588","1,292","1,625","2,043","2,681","3,021","2,932","3,331","2,508","1,771","1,350",912,434,109,14,4,"31,647","31,647",816,980,"1,112","1,339","1,915","1,131","1,084","1,406","1,822","2,062","2,417","2,640","3,251","2,517","1,929","2,006","1,675","1,031",399,92,23
강원도 홍천군 (4272000000),"1,569","2,102","2,378","2,656","3,361","3,226","2,778","3,085","3,635","4,418","5,608","6,601","8,459","6,271","3,781","3,442","3,008","1,520",529,114,32,"35,305","35,305",791,"1,071","1,207","1,354","1,984","2,001","1,575","1,638","1,918","2,394","2,978","3,490","4,357","3,331","1,919","1,513","1,197",430,119,34,4,"33,268","33,268",778,"1,031","1,171","1,302","1,377","1,225","1,203","1,447","1,717","2,024","2,630","3,111","4,102","2,940","1,862","1,929","1,811","1,090",410,80,28
강원도 횡성군 (4273000000),916,"1,202","1,493","2,068","2,018","1,760","1,493","1,838","2,234","2,772","3,914","4,644","6,120","4,705","2,873","2,628","2,277","1,133",432,103,29,"23,936","23,936",492,625,779,"1,085","1,144","1,015",805,949,"1,237","1,554","2,070","2,454","3,184","2,478","1,488","1,197",927,333,94,22,4,"22,716","22,716",424,577,714,983,874,745,688,889,997,"1,218","1,844","2,190","2,936","2,227","1,385","1,431","1,350",800,338,81,25
강원도 영월군 (4275000000),651,939,"1,148","1,711","1,859","1,290","1,176","1,509","1,871","2,510","3,323","3,800","4,649","3,688","2,463","2,306","1,905",899,279,67,21,"19,724","19,724",335,503,607,941,"1,068",770,653,809,"1,001","1,371","1,872","2,094","2,470","1,931","1,191",991,746,266,75,22,8,"18,340","18,340",316,436,541,770,791,520,523,700,870,"1,139","1,451","1,706","2,179","1,757","1,272","1,315","1,159",633,204,45,13
